Datum,brand,addresse,diesel
18.04.2022,Combustia,"Route de Saillon 178, 1926 Fully",2.21
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12
16.10.2022,Avia,"Bahnhofstr. 57, 7302 Landquart",2.21
16.10.2022,Socar,"Kantonsstr. , 7302 Landquart",2.21
16.10.2022,Fidel Maissen ,"Navinal 39, 7013 Domat/Ems",2.21
21.03.2022,BP,"Via Francesco Borromini 6, 6850 Mendrisio",2.21
16.10.2022,Socar Bonaduz,"Hauptstr. 54, 7402 Bonaduz",2.21
28.10.2022,Garage Elite,"Kantonsstrasse, 3942 Raron",2.21
20.11.2022,Agrola,"Hauptstr. 23, 9526 Zuckenriet",2.21
28.10.2022,Tamoil,"Furkastr. , 3985 Münster VS",2.21
16.10.2022,Avia,"Emserstr. 2, 7000 Chur",2.21
24.10.2022,E Feuz Transporte,"Hauptstr., 3862 Innertkirchen",2.21
29.09.2022,Cuendet Energies SA,"Hadimand 81, 1400 Yverdon-les-Bains",2.21
28.10.2022,Coop Pronto,"Wehreyering 1, 3930 Visp",2.21
25.09.2022,Voegtlin-Meyer AG,"Brandbachstr. 9, 8305 Dietlikon",2.21
15.10.2022,Coop,"Langsägestr. 4, 6010 Kriens",2.21
16.10.2022,Socar,"Stradung 18, 7460 Savognin",2.21
25.09.2022,Migrol,"Ackerstr. 47, 8610 Uster",2.21
16.10.2022,Agrola,", 7450 Tiefencastel",2.21
20.11.2022,Coop Pronto,"rte Reculan 1, 1024 Ecublens VD",2.21
16.10.2022,Socar,"Kasernenstr. 67, 7000 Chur",2.21
16.10.2022,Eni,"Kasernenstr. 159, 7000 Chur",2.21
16.10.2022,Coop Pronto,"Kasernernstrasse 25 , 7000 Chur",2.21
13.11.2022,Shell-Tankstelle,"Vorstatt 28, 6244 Nebikon",2.21
13.11.2022,Garage Seeholzer,"Vorstatt 7, 6244 Nebikon",2.21
21.03.2022,Socar,"San Bernardino, 6565 S. Bernardino",2.209
