Datum,brand,addresse,diesle,bleifrei,lat,lon
13.11.2022,Coop Pronto,"Zugerstrasse 40 , 6403 Küssnacht am Rigi",2.24,1.97,47.102481842041016,8.451028823852539
26.10.2022,Eni,"Baselstr. 22, 4202 Duggingen",2.24,1.83,,
24.10.2022,Socar,"Herrengasse 38, 6430 Schwyz",2.24,1.889,47.02283477783203,8.649288177490234
21.03.2022,Eni,"Via Cantonale, 6818 Melano",2.23,2.09,45.9261589050293,8.983771324157715
21.03.2022,giola,"Via Cantonale 59, 6818 Melano",2.23,2.09,45.92414855957031,8.984210968017578
21.03.2022,Eni,"Via Cantonale 10, 6818 Melano",2.23,2.09,45.931636810302734,8.974177360534668
26.10.2022,Merillat,"Rue Pierre-Pertuis 16, 2605 Sonceboz-Sombeval",2.23,1.84,47.19750213623047,7.183302402496338
26.10.2022,Shell,"Rue de Soleure 4, 2740 Moutier",2.23,1.81,47.28240203857422,7.381761074066162
12.11.2022,Coop,"Luzernstrasse 24b, 4950 Huttwil",2.23,1.94,47.113285064697266,7.8533101081848145
13.11.2022,Garage Steinmann,"Luzernerstrasse 23, 6247 Schötz",2.23,1.88,47.16899490356445,7.991916179656982
22.07.2022,Migrol Tankstelle,"Hauptstr. 69, 2557 Studen BE",2.23,2.01,47.11385726928711,7.300943851470947
26.10.2022,Jubin,"rue des Gorges 18, 2740 Moutier",2.23,1.81,47.282169342041016,7.3807477951049805
12.04.2022,Avia,"Seeburgstr. 1, 6000 Luzern",2.23,2.04,,
23.10.2022,Transit-Garage Müller AG,"Gotthardstr. 8 , 6410 Goldau",2.23,1.89,47.05099868774414,8.543509483337402
23.10.2022,Ruedi Rüssel,"Goldauerstr. 8, 6416 Steinerberg",2.23,1.87,47.053524017333984,8.581457138061523
04.09.2022,Gustoil,"Bernstrasse 7, 4923 Wynau",2.23,1.97,47.25566101074219,7.81887674331665
16.04.2022,Station service Piccand,"Rte de Drize 73, 1234 Vessy",2.23,2.13,,
21.03.2022,Socar,"via Carlo Maderno 56, 6825 Capolago",2.23,2.09,45.90987014770508,8.98290729522705
23.10.2022,Ruedi Rüssel,"Gotthardstr. 69, 6410 Goldau",2.23,1.87,47.04264831542969,8.551252365112305
14.11.2022,BP,"Staldenhof, 6000 Luzern",2.23,1.94,,
31.03.2022,Shell,"Oltenstr. 50, 4702 Oensingen",2.23,2.1,47.29151153564453,7.732193946838379
01.04.2022,Agip,"Solothurnerstr. 22, 4614 Hägendorf",2.23,2.08,47.330745697021484,7.836476802825928
03.11.2022,Oelteam AG,"Emmentalstr. 45, 3510 Konolfingen",2.23,1.86,46.88242721557617,7.626689910888672
03.11.2022,Oelteam AG,"Dättlig 10, 3507 Biglen",2.23,1.86,46.92481231689453,7.624919891357422
12.11.2022,Pneuhaus Gettnau,"Dorfstrasse, 6142 Gettnau",2.23,1.93,47.141666412353516,7.977083206176758
25.07.2022,Socar,"Sankt Jakobs-Strasse 70, 4132 Muttenz",2.23,2.11,,
26.10.2022,Coop,"Baslerstr. 5, 4102 Binningen",2.23,1.89,,
30.08.2022,LANDI Zola AG,"Kempttalstr., 8330 Pfäffikon ZH",2.23,2.07,,
16.10.2022,Angelini Hoch- und Tiefbau,"Serlas, 7525 S-chanf",2.23,1.93,46.614192962646484,9.98969554901123
13.11.2022,Migrol,"Luzernerstr. 51, 6247 Schötz",2.23,1.88,47.164024353027344,7.997058868408203
26.10.2022,AD Garage Mühle,"G.-F. Heilmann-Str.  16, 2500 Biel/Bienne",2.23,1.87,,
04.09.2022,Avia,"Bernstr. 13 , 4923 Wynau",2.23,1.92,47.256446838378906,7.819880962371826
16.10.2022,Migrol Service La Punt ,"Via Chantunela 4, 7522 La Punt-Chamues-ch",2.22,1.92,46.577796936035156,9.924659729003906
16.10.2022,Auto Pfister AG,"Cho d'Punt, 7503 Samedan",2.22,1.91,46.530723571777344,9.87488079071045
24.10.2022,Räuber Oel,"Grimselstrasse, 3862 Innertkirchen",2.22,1.9,46.70506286621094,8.229818344116211
22.08.2022,Ruedi Rüssel,"Seestr. 1375, 9322 Egnach",2.22,2.03,,
01.10.2022,Shell Kriens Mattenhof,"Nidfeldstrasse 10, 6010 Kriens",2.22,1.94,47.026615142822266,8.29942798614502
26.10.2022,Merillat,"Quartier de la Verrerie 67, 2740 Moutier",2.22,1.88,47.26620864868164,7.358461856842041
17.10.2022,Tamoil ,"Allmeindstr. 2, 8716 Schmerikon",2.22,1.91,47.22585678100586,8.946080207824707
26.10.2022,Avia,"Baselstr. 16, 4222 Zwingen",2.22,1.84,47.43920135498047,7.536238193511963
28.03.2022,Agrola,"Grosszelgstr., 5436 Würenlos",2.22,2.09,,
28.10.2022,Coop Pronto,"Route de la Gemmi, 3960 Sierre",2.22,1.89,46.29640579223633,7.550588130950928
28.10.2022,Garage Walpen Auto Center Ag,"Überhengertstrasse, 3983 Mörel",2.22,1.88,46.353694915771484,8.04106616973877
21.03.2022,Socar,"Via Franco Zorzi 4, 6850 Mendrisio",2.22,2.09,,
28.10.2022,Agrola,"Kantonsstr. 26, 3940 Steg VS",2.22,1.89,46.306175231933594,7.749673843383789
24.10.2022,Oeltrans AG,"Lammi, 3860 Schattenhalb",2.22,1.9,46.71493911743164,8.211337089538574
